NAMA_UP;NAMA;BLTH;TARIP;DAYA;KDPEMBMETER;JAMNYALA;PEMKWH;RPDISKON
ULP BELANTI;RSUP M JAMIL             ;202012;LS3;3465000;A;260.098;901240;0
ULP INDARUNG;PT.WILMAR NABATI INDONESI;202012;I3;4150000;A;262.294;1088520;0
ULP INDARUNG;PT WIRA INNO MAS         ;202012;I3;6055000;A;134.976;817280;0
ULP INDARUNG;PACKING PLANT S P        ;202012;I3;7000000;A;226.914;1588400;0
ULP INDARUNG;PT TELUK LUAS            ;202012;I3;4330000;A;119.667;518160;0
ULP INDARUNG;PT SEMEN PADANG          ;202012;I4;90000000;A;462.041;41583664.24;0
ULP INDARUNG;PT. SEMEN PADANG UNIT VI;202012;I4;50000000;A;339.96;16997978.78;0
ULP INDARUNG;PADANG RAYA CAKRAWALA;202012;LI3;8660000;A;67.995;588840;0
ULP LUBUK ALUNG;PT USAHA INTI PADANG     ;202012;I3;5540000;A;351.668;1948240;0
ULP SUNGAI RUMBAI;PT. DJAMBI WARAS         ;202012;I3;4330000;A;158.397;685860;0
